1244,3772,13364
1074,4372,14062
1076,4408,14276
1106,4068,14508
1344,4518,14002
1494,4120,14034
1514,4674,13082
448,2574,15364
262,2864,14598
6,1308,15888
-754,1474,15124
2014,-638,12466
2840,-2446,16792
1698,-4366,6546
1374,-2480,6886
2572,5050,13204
-158,4774,9518
1886,2544,15574
2960,4446,16476
3210,3462,13618
3984,3034,14320
2710,1624,15640
4438,1938,12118
2936,728,17376
2524,1940,16232
2466,680,11806
2146,6652,15314
584,3100,10378
-576,2418,21112
554,4620,13992
676,4868,12972
232,5592,11140
-546,5794,8660
-4728,11238,7044
4900,11280,5594
-5002,18226,2744
-12092,22256,12240
-8616,16632,542
-11868,10640,1074
-11722,10198,-182
-13152,10920,304
-11410,9878,1878
-11028,11856,-646
-8546,10780,318
-11320,10092,-2292
-14304,8228,9970
-9984,11752,-3142
-22482,24606,-3526
-26714,11404,10606
-11392,5134,730
1894,-6656,-844
-6084,8800,1950
-12582,17304,-1636
-14290,14346,3294
-13674,8322,5890
-5332,10064,1224
-8894,8498,502
-10654,9624,1194
-14914,11094,5230
-12942,16014,6472
-23736,15214,-1066
-11472,-2932,-3046
500,-1704,-8956
-14856,16728,-5436
-9152,19642,-2592
-3678,21730,-7642
-32598,9212,-3112
-19766,2628,2982
-12260,9448,3864
-10038,11210,-7974
-6006,8700,-660
-5632,8438,-10362
-9922,2222,-5392
-12958,1914,-6256
-6578,2986,1682
-7288,-2448,-530
-19628,17858,-13932
-4864,-1602,934
-21946,-8466,4656
-21658,-7062,5212
-16364,-2078,-58
-14648,3162,-4610
-20430,2240,824
-22862,20734,-388
-26736,-9362,2818
-17398,-8360,-1008
-5716,3812,-6240
-8724,1656,-18
-22316,24432,-932
-25324,10184,-32768
-10424,-30786,-448
-25080,1364,8414
-11620,5776,1640
-15772,6672,-7212
-20458,15576,3626
-15082,19692,-6250
-29708,-3442,-6362
-11930,-7444,-6614
-4388,-13202,-2380
-29018,16730,-1938
-9750,608,3496
-11254,-7768,-2778
-13636,-13558,8498
-17232,1994,550
-15100,2160,-1298
-18850,8802,4240
-27740,24044,-6340
-24554,-6436,8896
-19894,-9742,-5212
-4162,-6850,3498
-6492,-14092,-804
-17236,8374,6846
-21472,-3490,-11274
-22270,-20376,13178
-11462,-3878,46
-13618,3238,-4234
-19352,5472,3060
-19496,19306,-4606
-22944,-10200,6944
-18600,-5272,-2754
-5494,-7866,-2728
-6542,-13694,1978
-23386,4808,-2090
-32768,4806,-20136
-22506,-12472,5148
-15344,-2050,1310
-15886,3736,-3584
-19288,5896,8664
-15678,21120,4398
-26918,-6440,8026
-16524,-5366,4420
-5434,-6448,-4360
-9306,-7658,3748
-21794,10690,3726
-32768,-220,1394
-25120,-14678,7018
-15698,-4674,3292
-17212,566,-4574
-21630,-2486,-832
-21842,16478,-380
-30058,-8862,16152
-24520,-3416,566
-8358,-6608,-5800
-3274,-14336,-3416
-16514,12536,8296
-13220,-12900,480
-12636,-14312,5732
-12658,-7988,7944
-18322,682,-2080
-18730,2430,-1720
-22788,16524,-910
-26568,-498,9180
-19704,-2924,-562
-7364,-8184,-3876
-6248,-11520,-792
-25210,19256,650
-18758,9148,-8458
-16286,-11600,3330
-13726,-2754,9890
-15006,4144,-716
-20610,4540,90
-14796,17616,3354
-12748,1260,-1656
-29102,-3922,-40
-8382,-6852,-3518
-4326,-14046,-3338
-23560,21320,3948
-27074,10176,-26118
-19314,-15268,3840
-15952,-922,2076
-16158,8570,-2236
-20984,3224,-858
-16104,20188,9540
-32768,-8116,16586
-17298,-8010,420
-5762,-7550,-4358
-7326,-15732,-10132
-8954,2880,4440
-32768,-9008,1088
-15314,-18142,12178
-15284,-4216,-804
-17362,4934,-5220
-20512,-154,11390
-18368,15108,-1354
-24236,14352,14548
-32768,-6680,1728
-8042,-5036,-178
26,-12948,4472
-23524,26800,-23368
-7394,-1772,6558
-8360,-10468,1310
-14552,-5764,13178
-18670,2972,3240
-18332,-966,-13362
-22442,7716,9784
-23420,19566,-8756
-32008,-4134,3756
-14372,-8074,3178
-4490,-8936,532
-8190,-6996,-32768
-11420,-1428,10644
-15572,-9810,-3522
-16476,-15530,10574
-14350,-616,586
-15602,-2448,-6424
-22938,5792,4268
-12706,17550,6250
-32768,-3690,-1274
-16762,-6936,-326
-4244,-6906,4600
-4366,-12940,-4734
-12090,4576,8536
-18604,-10608,928
