T,X,Y,Z
1629628263,522,12190,9158
1629628263,488,12190,9194
1629628263,488,12200,9130
1629628263,466,12194,9072
1629628263,486,12198,9102
1629628263,436,12180,9150
1629628263,480,12214,9162
1629628263,452,12220,9100
1629628263,472,12168,9106
1629628263,518,12186,9148
1629628263,538,12178,9126
1629628263,500,12188,9088
1629628263,464,12180,9122
1629628263,466,12150,9144
1629628263,426,12246,9170
1629628263,468,12196,9166
1629628264,508,12204,9154
1629628264,498,12200,9148
1629628264,496,12200,9134
1629628264,510,12208,9122
1629628264,484,12190,9134
1629628264,490,12160,9150
1629628264,464,12178,9158
1629628264,482,12176,9154
1629628264,440,12196,9176
1629628264,468,12154,9150
1629628264,448,12188,9126
1629628264,468,12196,9130
1629628264,512,12182,9130
1629628264,466,12188,9094
1629628264,488,12182,9178
1629628264,454,12162,9116
1629628264,470,12174,9146
1629628264,472,12178,9148
1629628264,498,12148,9112
1629628264,490,12196,9110
1629628264,462,12206,9158
1629628264,494,12170,9160
1629628264,490,12206,9146
1629628264,472,12188,9124
1629628264,470,12154,9142
1629628264,470,12186,9148
1629628264,446,12196,9134
1629628264,454,12196,9096
1629628264,476,12212,9078
1629628264,506,12210,9134
1629628264,512,12188,9108
1629628264,518,12160,9152
1629628264,478,12204,9102
1629628264,474,12196,9106
1629628264,502,12168,9152
1629628264,488,12218,9140
1629628264,458,12202,9094
1629628264,472,12218,9170
1629628264,520,12196,9156
1629628264,470,12170,9184
1629628264,464,12190,9164
1629628264,474,12188,9194
1629628264,498,12184,9140
1629628264,462,12154,9154
1629628264,498,12206,9146
1629628264,488,12194,9156
1629628264,494,12174,9146
1629628264,464,12164,9152
1629628264,476,12166,9114
1629628265,466,12188,9062
1629628265,486,12224,9144
1629628265,464,12152,9138
1629628265,460,12182,9112
1629628265,484,12182,9124
1629628265,478,12220,9134
1629628265,500,12228,9160
1629628265,464,12170,9142
1629628265,496,12200,9178
1629628265,496,12168,9132
1629628265,470,12172,9130
1629628265,470,12160,9146
1629628265,472,12096,9114
1629628265,492,12196,9080
1629628265,466,12350,9114
1629628265,492,12222,9196
1629628265,482,12178,9136
