T,X,Y,Z
1629821445540577401,-15756,2026,-1734
1629821445573965951,-16000,2152,-1832
1629821445607447759,-16564,2180,-2516
1629821445640375681,-16500,2378,-2326
1629821445673416614,-15882,2392,-1872
1629821445706397124,-15694,2010,-1826
1629821445739813552,-16130,1102,-2276
1629821445772514327,-16068,812,-2268
1629821445805888833,-16586,1734,-2176
1629821445839375643,-15934,2126,-2686
1629821445872715854,-15756,1410,-2390
1629821445905984934,-15832,282,-2034
1629821445939300602,-15766,-72,-2228
1629821445972757074,-16464,-466,-2468
1629821446006086951,-16870,-778,-2752
1629821446039301186,-16150,-934,-2698
1629821446072735441,-15628,-578,-2820
1629821446105866085,-15682,754,-2978
1629821446139077361,-15938,1152,-2712
1629821446172607834,-15422,1104,-2458
1629821446206351744,-15566,340,-2756
1629821446239657613,-15994,-550,-3078
1629821446272826885,-15914,-678,-3238
1629821446307041090,-15902,-114,-3510
1629821446340325165,-15998,908,-3116
1629821446373532690,-15588,840,-2408
1629821446406956779,-16364,90,-3404
1629821446440470209,-16540,76,-3784
1629821446473693402,-15986,256,-2918
1629821446507231626,-16232,258,-2722
1629821446540482864,-16406,8,-2906
1629821446573777773,-16828,-270,-3376
1629821446611964236,-16324,-88,-3612
1629821446645954712,-16260,226,-3510
1629821446679528523,-15864,1474,-2508
1629821446713155755,-15608,1822,-2324
1629821446746322694,-15588,1532,-4274
1629821446779792744,-16158,210,-5290
1629821446814256557,-16254,-1668,-5410
1629821446847708773,-16850,-2234,-5594
1629821446880954344,-17654,-1368,-5862
1629821446914310509,-16908,922,-6022
1629821446947807187,-13844,3134,-3984
1629821446981000420,-14008,3540,-4274
1629821447014550309,-15240,1460,-5086
1629821447048934358,-15372,-60,-6180
1629821447081760257,-15220,52,-7136
1629821447115188297,-14320,1692,-6372
1629821447148588376,-13970,1944,-5584
1629821447181756808,-14108,2154,-4476
1629821447215199183,-15326,-334,-5860
1629821447248319152,-16116,-1498,-5586
1629821447281360572,-17054,-1580,-5612
1629821447314228891,-15642,-2678,-5820
1629821447347060999,-16110,-3238,-5310
1629821447381727950,-14224,-1494,-3210
1629821447417032712,-14570,-1456,-2504
1629821447450546385,-20196,1898,-5924
1629821447483552343,-21578,-1232,-7660
1629821447516989884,-20268,-1818,-4376
1629821447549962256,-11092,164,444
1629821447582686395,-10540,3748,1506
1629821447616707992,-15512,2728,930
1629821447649755662,-17216,3586,-852
1629821447683371345,-17918,1396,34
1629821447716933232,-19562,-2292,790
1629821447749514399,-13662,-3178,7230
1629821447782596531,-13668,88,8908
1629821447816009986,-15320,2326,1380
1629821447850097131,-15312,2852,-116
1629821447883435163,-16964,4990,-4484
1629821447917177608,-13244,3392,-2634
