T,X,Y,Z
1629807789371623762,5300,-548,5746
1629807789390671922,6246,-1402,10648
1629807789410595833,5136,-1560,13184
1629807789430089827,3580,-1008,13544
1629807789449347320,2700,800,12032
1629807789468575939,2412,1896,10984
1629807789487785807,2114,2860,10982
1629807789507872177,1970,2858,11654
1629807789527050170,2242,2142,11966
1629807789547461291,2720,1418,11238
1629807789566485617,3084,934,9988
1629807789585802277,3536,666,9270
1629807789605638772,4052,182,9452
1629807789624713848,4728,-374,10588
1629807789644616093,5120,-1410,12940
1629807789664892880,5290,-2384,16152
1629807789684324249,4926,-2796,19054
1629807789705219370,4148,-2310,19368
1629807789724922156,4112,-1848,16498
1629807789744132816,5372,-2962,16842
1629807789763458435,6360,-4912,21420
1629807789782860470,5156,-4944,27222
1629807789802869215,1908,-2462,30808
1629807789824577546,-1152,1278,28498
1629807789843878290,-2354,3570,20808
1629807789862936449,-1356,2374,13242
1629807789882861277,-132,176,7218
1629807789902751189,1852,-1264,4340
1629807789922119766,3492,-1494,4674
1629807789941597093,4070,-1146,8026
1629807789961025295,3818,-1160,11018
1629807789980782206,3492,-1220,12506
1629807790000270825,3706,-1640,12340
1629807790019403858,3768,-1584,11722
1629807790038449516,3318,-748,11574
1629807790057728007,2768,318,12244
1629807790077342124,2360,864,12828
1629807790096506115,2580,472,12340
1629807790115758981,3090,-202,12340
1629807790134766556,3590,-488,11106
1629807790154170214,3822,-716,10126
1629807790174240831,3856,-350,10426
1629807790194511574,3774,222,10754
1629807790214608150,3808,518,10868
1629807790234064725,4146,150,12010
1629807790253766551,4962,-484,15698
1629807790273960418,5310,-904,20802
1629807790293451243,4836,-852,24180
1629807790313274319,3712,-2286,27748
1629807790333399062,2822,-3628,31368
1629807790352915220,1412,-3464,32767
1629807790372143545,-714,-1518,32116
1629807790391586870,-2452,1496,25138
1629807790412123905,-3196,1458,15890
1629807790432606773,-1996,6,8560
1629807790452536349,556,-1746,4498
1629807790472072257,3172,-2754,3280
1629807790491316082,4554,-2254,4234
1629807790511217949,4090,-718,6774
1629807790530455357,2684,640,8950
1629807790550021390,1484,1626,9718
1629807790569313298,970,2390,9794
1629807790588538165,788,3082,10026
1629807790607569780,656,3166,10200
1629807790626768272,730,2890,11052
1629807790646560180,1276,2232,11052
1629807790665902505,1578,1784,11992
1629807790685340872,1906,1446,12678
1629807790705644115,2206,1442,12678
1629807790724845814,2568,1794,11392
1629807790744613306,3152,1422,10324
1629807790764529007,3930,290,10868
1629807790784167666,4346,-304,15944
1629807790804025366,3976,-236,15944
1629807790823097732,3504,430,16366
1629807790843308600,4088,808,16366
1629807790862567841,4956,92,16052
1629807790881853874,4728,-1576,18104
1629807790901485658,3090,-2152,22196
1629807790921784568,304,-1060,26620
1629807790941244851,-1938,1392,29746
1629807790960490509,-2920,3312,30006
1629807790979761208,-2544,1688,24886
1629807790998864908,-1096,-1272,10360
1629807791021647695,1108,-4150,6778
1629807791040968226,3374,-5692,6100
1629807791060418382,4200,-4850,7280
1629807791079627830,4302,-4074,7280
1629807791098774860,3246,-2622,8532
1629807791118812351,2624,-1704,8532
1629807791137845756,2262,-1346,9058
1629807791157184579,2008,-736,10070
1629807791176412693,1552,86,11070
1629807791196255267,1792,258,12280
1629807791216766716,2888,-646,12444
1629807791235975372,3966,-982,11016
1629807791254926986,4588,-1058,10894
1629807791274410684,4974,-1244,12454
1629807791293531964,5474,-1366,13462
1629807791313218704,5594,-876,13068
1629807791333379320,5586,26,11886
1629807791352626059,5386,1056,11760
1629807791372124798,4934,1774,12214
1629807791391827330,4514,2470,13528
1629807791412818197,3934,3002,15186
1629807791432558895,3836,3268,17828
1629807791451652801,4216,2902,20328
1629807791471453124,3976,1988,20026
1629807791492692033,3158,1114,28386
1629807791512319565,1176,540,28386
1629807791532045721,-1780,1252,32767
1629807791551976170,-3408,2722,22696
1629807791571741535,-2616,1286,11900
1629807791591701609,-826,-1018,5170
1629807791611378390,2166,-3094,2350
1629807791632632758,5224,-3484,3812
1629807791652113997,5970,-1570,8096
1629807791671069361,4658,-256,11666
1629807791691440727,2454,1010,12824
1629807791711781301,1262,2216,11424
1629807791731055540,1232,2760,8896
1629807791750284488,1494,3236,8282
1629807791769799769,1678,3344,9014
1629807791790623011,1578,3136,9622
1629807791810159042,1540,2744,10706
1629807791829493323,1986,1770,11530
1629807791849214313,2738,616,12742
1629807791869449262,3092,14,13646
1629807791888762460,3082,-122,13606
1629807791908213699,3044,124,12514
1629807791928177606,3342,-94,11888
1629807791947772846,3984,-800,12530
1629807791967986087,4128,-1716,14084
1629807791987248743,4062,-2278,16098
1629807792006439857,3902,-2374,16884
1629807792026101886,3818,-2032,14938
1629807792045698832,4124,-2380,13630
1629807792065388737,4946,-3786,16430
1629807792084814891,4756,-3860,21072
1629807792103919837,2670,-1886,25876
1629807792123036824,-52,1012,26658
1629807792143265896,-1564,2884,22192
1629807792164065635,-698,2624,16378
1629807792183467039,852,1292,12998
1629807792203972404,1708,-602,11594
1629807792226346229,2558,-1878,11830
1629807792246397301,3258,-2214,13186
1629807792266485831,3266,-2704,14140
1629807792285603526,3502,-2960,14070
1629807792305133264,3616,-2966,12738
1629807792324533418,3636,-2754,11896
1629807792344434656,3440,-2424,11514
1629807792363518060,3068,-2030,12176
1629807792382577880,2566,-2030,13206
1629807792402204826,2274,-1948,12948
1629807792421963481,2360,-2208,11992
1629807792442287220,2766,-2330,11004
1629807792461726083,2820,-1348,10696
1629807792480823820,2642,-1348,11274
1629807792500134932,2454,-446,11840
1629807792519307336,2578,2,12180
1629807792539242532,3080,-106,12082
1629807792558267728,3552,26,12492
1629807792577723674,3824,28,13324
1629807792596721827,3924,398,14666
1629807792616101398,4086,650,15232
1629807792635881594,4520,-52,16238
1629807792655364165,5234,-1450,20942
1629807792674639861,5074,-2062,27764
1629807792694309265,2696,-2846,32228
1629807792714860380,312,-2174,32348
1629807792734758451,-1278,-360,25944
1629807792754751523,-1908,-58,17124
1629807792774274844,-1044,-1122,9582
1629807792793916207,216,-2208,5028
1629807792814543321,1824,-3734,4700
1629807792836519812,3188,-4078,8692
1629807792855729216,3024,-2656,12876
1629807792874709828,1216,-770,14786
1629807792894685066,-494,596,14284
1629807792915053305,-982,1078,12412
1629807792934527751,-352,1168,11382
1629807792954847907,172,728,11694
1629807792974686937,602,-4,12516
1629807792993948966,978,-492,12940
1629807793014254162,1482,-558,12830
1629807793033366481,1696,-628,12720
1629807793052752300,1626,-762,12148
1629807793072057244,1586,-1192,12444
1629807793091322104,1634,-1640,12954
1629807793110990840,1618,-2126,13744
1629807793130614534,1476,-2612,14628
1629807793149788186,1290,-2612,15382
1629807793168598171,650,-2784,15340
1629807793187762532,-34,-2692,15258
1629807793208316519,-662,-2292,16072
1629807793227899005,-1310,-2118,17074
1629807793247264032,-1550,-2186,16742
1629807793266516434,-1502,-2306,15006
1629807793286443212,-1276,-2062,11988
1629807793305973740,-882,-2796,10234
1629807793325286350,110,-3654,12634
1629807793345508379,-184,-3860,18454
1629807793365123365,-2210,-2616,23162
1629807793384858101,-3678,-678,24812
1629807793404308337,-3388,-490,21806
1629807793426057742,-1800,-1670,18202
1629807793445438728,-1348,-1194,16926
1629807793464602505,-2276,-1194,17356
1629807793484231449,-2564,-1140,17230
1629807793503333059,-1894,-2134,15482
1629807793522742920,-998,-3362,13438
1629807793541992322,-238,-4546,11836
1629807793561288683,-96,-4994,10558
1629807793581009169,-346,-4554,9980
1629807793600537863,-436,-3790,10018
1629807793620109599,-328,-3324,10890
1629807793639062917,-128,-2942,12334
1629807793658382819,-22,-2612,13868
1629807793678201931,386,-2616,15138
1629807793697762208,756,-2436,15600
1629807793718020945,1106,-1856,15824
1629807793737512848,1490,-1232,15672
1629807793756631666,1822,-872,14580
1629807793776358986,2320,-742,13932
1629807793795380471,2896,-788,13340
1629807793814510248,3322,-1130,12580
1629807793834142567,3642,-1178,12346
1629807793853839386,3626,-1226,12106
1629807793873411414,3484,-952,11926
1629807793892582274,3238,-366,11926
1629807793911691801,2838,408,11478
1629807793931064662,2586,948,10820
1629807793950785940,2838,1242,9900
1629807793970422092,3606,1570,9820
1629807793989942745,4072,1526,10482
1629807794009227730,4480,1624,20668
1629807794030979884,3880,1982,23966
1629807794050849577,2962,2632,23204
1629807794070204769,2504,3314,20738
1629807794089600420,2302,3468,19828
1629807794108992529,2834,2816,20952
1629807794128488179,2610,3248,21814
1629807794148301581,1884,2756,21814
1629807794167370147,2162,2664,19200
1629807794186692256,2684,2680,14290
1629807794206627324,3250,2326,10668
1629807794226184475,3984,2230,7790
1629807794245963959,4786,2244,6292
1629807794265204943,5342,2344,5946
1629807794284507885,5274,2102,7534
1629807794303777161,4808,1562,9372
1629807794323180895,4606,1094,10332
1629807794342847379,4242,1066,11042
1629807794362223530,3602,1160,12440
1629807794381344847,2714,1098,14568
1629807794400646289,2000,1162,16932
1629807794420238815,1404,1324,18138
1629807794439959174,1164,1656,17354
1629807794459045491,1392,2036,14956
1629807794478468308,2188,1616,13028
1629807794497709667,3026,718,12458
1629807794517454485,3206,98,12754
1629807794536770135,3362,-184,13892
1629807794556189203,3738,-768,14834
1629807794575619853,4450,-1646,14660
1629807794594711753,5598,-2852,13538
1629807794614630363,6364,-4468,12934
1629807794636537892,6664,-6084,14512
1629807794655549334,5668,-6148,17738
1629807794674850276,2892,-3390,22028
1629807794694274968,-440,846,26756
1629807794715268496,-1768,3148,28482
1629807794734765355,-1116,1652,25848
1629807794754246714,598,-1490,19864
1629807794773772407,640,-2554,14492
1629807794792827890,464,-2704,10534
1629807794812443416,1082,-2260,7824
1629807794831607275,1950,-2150,6902
1629807794850705425,2120,-2450,7730
1629807794870087700,1442,-2144,9858
1629807794889520101,734,-1442,11746
1629807794909314752,236,-528,12188
1629807794928808111,214,2,11550
1629807794947838053,736,-358,10728
1629807794966947412,1648,-1338,10294
1629807794987015313,2362,-1842,9898
1629807795006391047,2814,-1630,10106
1629807795025497654,2872,-1362,11242
1629807795044610928,2912,-1192,12056
1629807795064442952,3254,-1028,12370
1629807795084347227,3878,-1180,12286
1629807795103499417,4474,-1296,12204
1629807795122611858,4954,-1018,12848
1629807795142254132,5046,-490,13906
1629807795161745365,5240,118,14030
1629807795181679931,5514,388,14752
1629807795201397497,5568,820,15714
1629807795222908274,5482,1654,17710
1629807795243999716,5248,2028,18552
1629807795263598491,4416,1848,18992
1629807795283489515,2932,628,23144
1629807795302770081,-90,-758,29072
1629807795322461772,-2964,484,32694
1629807795341840254,-5214,1434,31118
1629807795361191278,-5034,1266,23396
1629807795381201261,-3686,-776,13762
1629807795400523910,-462,-3734,7314
1629807795419667934,3160,-6532,4316
1629807795438848166,5062,-7426,4776
1629807795458278773,4262,-5508,7876
1629807795478228173,1808,-2604,10410
1629807795497385363,450,-556,11252
1629807795516635929,230,534,10504
1629807795535785286,462,1164,8998
1629807795555537935,420,2190,7592
1629807795575044210,658,2606,7242
1629807795594172108,658,2214,7664
1629807795613533257,1218,1640,8418
1629807795633454657,2266,1658,9322
1629807795654467475,2908,1818,10290
1629807795674325916,2928,2218,11340
1629807795694339691,2908,2674,12600
1629807795714351715,2916,2952,14418
1629807795734199073,2980,2818,16748
1629807795753968056,3220,2168,18000
1629807795773465414,3776,1580,17778
1629807795794026272,4280,898,16762
1629807795813707963,4352,628,16742
1629807795836075658,3882,1130,17442
1629807795855729099,3688,1116,17038
1629807795874832789,3574,182,18198
1629807795894402980,2974,-1510,21596
1629807795913632670,1262,-2630,25656
1629807795933312361,-1140,-496,28398
1629807795952828636,-2538,2602,28338
1629807795972667952,-2896,2994,24172
1629807795992107934,-2466,1624,19038
1629807796011113083,-1532,-866,14612
1629807796030976939,-302,-3312,11614
1629807796050915504,1256,-4926,9704
1629807796070291443,2662,-5430,8672
1629807796090390216,3424,-4546,7850
1629807796109680739,3416,-2892,7148
1629807796129625595,3036,-1292,6288
1629807796148736867,2958,-260,5196
1629807796167971515,3114,720,4938
1629807796187431371,2722,1252,6672
1629807796207200143,2080,1540,9240
1629807796227709626,1876,1688,10992
1629807796246979523,2118,1516,12342
1629807796266000670,2424,1814,12718
1629807796285283776,2502,2224,13806
1629807796304947090,2582,2390,14904
1629807796324979364,3030,2680,14814
1629807796344612136,3956,3040,13966
1629807796363860242,4700,3102,14010
1629807796382902681,5042,2690,15144
1629807796402556162,5292,1894,16194
1629807796423525311,4902,1106,18594
1629807796444864003,4222,238,22034
1629807796464363025,3636,22,24438
1629807796483346672,3490,-724,23194
1629807796503329112,3364,-2042,22528
1629807796522751260,2300,-3650,25156
1629807796542160491,348,-4120,29172
1629807796561461721,-1264,-1968,31540
1629807796580840911,-2250,-888,25542
1629807796600492642,-2128,-1994,15688
1629807796619768622,-552,-2396,7728
1629807796639352645,1640,-2650,3738
1629807796658510542,2840,-2602,3240
1629807796677896898,2940,-2076,5182
1629807796697798255,2194,-1276,8502
1629807796717863861,1162,-368,9902
1629807796737604176,728,430,9304
1629807796756874573,662,828,8074
1629807796776379346,510,1600,7222
1629807796796006119,198,2310,7194
1629807796815124266,92,2704,7352
